Chromosome	Start	End	Feature	p5_p2	p1_p10	p5_p3	p7_p2	p7_p3	p4_p9	p4_p8	p6_p9	p6_p8	p1_p3	p1_p2	p4_p3	p6_p10	p4_p2	p1_p9	p1_p8	p6_p3	p7_p10	p6_p2	p5_p8	p5_p9	p5_p10	p4_p10	p7_p8	p7_p9
Scaffold1	52249	52250	snp	0.14940229	0.16806690	0.00453115	0.01271276	0.19699797	0.08123412	0.00938393	0.03868538	0.04415475	0.11325356	0.60730410	0.02331991	0.05410955	0.36498280	0.18934204	0.02997696	0.00444538	0.20669455	0.15309003	0.04741931	0.03912669	0.05834109	0.09037555	0.34822793	0.13243499
Scaffold1	52749	52750	snp	0.30746173	0.41765318	0.00946809	0.03158770	0.14239668	0.14573683	0.01102767	0.01046467	0.17020351	0.24214657	0.75666856	0.10633218	0.02864341	0.58380767	0.28826926	0.03862897	0.01392366	0.08742087	0.23008127	0.09405857	0.01248096	0.05895577	0.25212069	0.45044042	0.13172269
Scaffold1	53249	53250	snp	0.05537002	0.15824150	0.01435637	0.01704334	0.06790643	0.09881692	0.00719229	0.02928194	0.06023429	0.12473782	0.15614433	0.06314853	0.03942660	0.13492624	0.17558997	0.01337414	0.01897209	0.08829917	0.05489985	0.05705387	0.02698647	0.03677036	0.09342395	0.26105789	0.04675882
Scaffold1	53749	53750	snp	0.29273155	0.20374297	0.02709854	0.07079925	0.06371246	0.14546903	0.00732812	0.05556424	0.08271561	0.13014688	0.69527638	0.06818956	0.06490922	0.53862764	0.22743631	0.03157935	0.02938799	0.08813340	0.21165709	0.12448580	0.06722947	0.07894223	0.14675106	0.25430371	0.04249241
Scaffold1	54249	54250	snp	0.40416594	0.14250772	0.03079098	0.01710969	0.13906418	0.10990365	0.02534165	0.02957537	0.07082240	0.20016157	0.68147603	0.08550583	0.01519656	0.42776149	0.23519841	0.03614098	0.01156696	0.19712645	0.27264329	0.06963600	0.04508835	0.02062419	0.06123772	0.39554945	0.14460574
Scaffold1	54749	54750	snp	0.24269003	0.09999979	0.03222836	0.08934267	0.10195432	0.10430796	0.05856248	0.01668186	0.02071237	0.11744058	0.52561443	0.10184509	0.01484075	0.49872179	0.12195260	0.05485178	0.01637774	0.17332702	0.20124773	0.00522438	0.02884606	0.02587532	0.09974856	0.32791459	0.10831183
Scaffold1	55249	55250	snp	0.03222343	0.02109065	0.01933706	0.06139969	0.02309811	0.01815875	0.02550111	0.01163659	0.01980753	0.01870758	0.02567920	0.01547585	0.00902994	0.02480001	0.02019494	0.01882251	0.01274750	0.03525264	0.02727984	0.01383479	0.01360804	0.01347890	0.01963458	0.03902466	0.02961661
Scaffold1	55749	55750	snp	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	0.00000000
Scaffold1	56249	56250	snp	na	0.00000000	0.03548746	na	na	na	0.00000000	na	0.16279070	0.03803908	na	0.03225806	na	na	na	0.00000000	na	na	na	0.07504521	na	0.07504521	0.00000000	na	na
Scaffold1	56749	56750	snp	na	0.01658519	0.04456342	na	na	0.00792120	0.01432839	0.01388455	0.02992878	0.07199191	na	0.05462299	0.03306282	na	0.04380507	0.04916710	0.02548533	na	na	0.02944896	0.03339005	0.02467151	0.03476243	na	na
